authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Sarin, Shiv Kumar",Institute of Liver and Biliary Sciences,ind,866,1982,2024,"5,675","37,503",86,35.9194,21,260,150,"9,071",649,"23,433",4.2875,"27,909",1.3438,732,12.87%,"5,606","43,044",91,38.1041,21,284,150,"10,095",649,"25,853",4.3224,"30,600",1.4067,747,0,0,31,Gastroenterology & Hepatology,0.5764,General & Internal Medicine,0.0567,Clinical Medicine,0.9178,94,93,"103,730"
"Thomas, Sabu",Mahatma Gandhi University,ind,"1,835",1986,2024,"6,495","58,067",109,56.7974,12,71,130,"1,840","1,182","38,562",4.2582,"41,087",1.4133,"1,530",10.94%,"6,698","65,199",115,60.7223,12,72,130,"1,992","1,182","43,122",4.2837,"43,291",1.5061,"1,566",0,0,35,Polymers,0.3601,Materials,0.1187,Chemistry,0.5478,60,51,"116,445"
"Gupta, Rajeev",Eternal Heart Care Centre & Research Institute,ind,612,1971,2024,"6,527","122,184",102,25.8299,24,804,205,"4,412",275,"5,071",4.2570,"106,609",1.1461,480,11.99%,"6,093","138,830",108,27.8977,24,873,205,"5,198",275,"5,958",4.3044,"116,198",1.1948,497,0,0,95,General & Internal Medicine,0.3224,Cardiovascular System & Hematology,0.2029,Clinical Medicine,0.8462,94,109,"333,256"
"Tuteja, Narendra",International Centre for Genetic Engineering and Biotechnology,ind,384,1988,2024,"6,873","25,152",63,31.9510,9,"1,367",69,"3,739",274,"23,033",4.2453,"21,309",1.1803,340,8.59%,"6,532","27,517",69,34.2688,9,"1,492",69,"4,455",274,"24,912",4.2893,"21,918",1.2555,352,2,243,26,Plant Biology & Botany,0.4781,Biochemistry & Molecular Biology,0.0738,Biology,0.6721,56,58,"174,582"
"Mohan, Viswanathan",Madras Diabetes Research Foundation,ind,"1,200",1962,2024,"6,876","70,933",106,37.9830,20,126,200,"4,875",592,"16,250",4.2451,"60,423",1.1739,984,15.56%,"5,857","84,001",118,40.9358,20,142,200,"6,079",592,"19,605",4.3124,"66,976",1.2542,"1,011",0,0,47,Endocrinology & Metabolism,0.3977,General & Internal Medicine,0.1830,Clinical Medicine,0.8246,181,201,"92,197"
"Reddy, K. Srinath",Public Health Foundation of India,ind,464,1979,2023,"7,185","76,067",85,26.3495,48,"1,122",85,"3,633",195,"7,436",4.2355,"68,877",1.1044,402,10.11%,"7,212","84,625",92,27.9972,48,"1,170",85,"3,928",195,"8,302",4.2679,"74,516",1.1357,407,0,0,33,General & Internal Medicine,0.2035,Cardiovascular System & Hematology,0.1472,Clinical Medicine,0.7035,108,119,"333,256"
"Das, Dipak","GLA University, Mathura",ind,688,1976,2024,"7,276","23,505",82,41.8953,32,479,143,"3,696",547,"17,931",4.2326,"19,082",1.2318,567,12.32%,"6,655","26,807",90,45.9117,32,527,143,"4,223",547,"20,527",4.2851,"19,934",1.3448,579,24,"1,738",213,Biochemistry & Molecular Biology,0.1930,Cardiovascular System & Hematology,0.1871,Clinical Medicine,0.3889,308,357,"208,384"
"Aminabhavi, Tejraj M.",KLE Technological University,ind,919,1979,2024,"7,389","39,957",98,52.8453,10,66,190,"3,689",705,"30,777",4.2291,"29,802",1.3407,820,10.93%,"7,122","44,862",105,57.7659,10,66,190,"4,455",705,"34,709",4.2702,"30,987",1.4478,834,0,0,29,Polymers,0.3396,Chemical Engineering,0.2088,Chemistry,0.4571,64,59,"116,445"
"Jana, Nikhil R.",Indian Association for the Cultivation of Science,ind,196,1991,2024,"7,540","20,220",58,31.9020,5,760,27,"10,730",152,"16,568",4.2243,"16,616",1.2169,187,7.54%,"7,806","21,869",63,33.5448,5,816,27,"11,243",152,"17,828",4.2503,"17,086",1.2799,188,0,0,10,Nanoscience & Nanotechnology,0.3265,Chemical Physics,0.1837,Enabling & Strategic Technologies,0.3776,117,115,"135,958"
"Agarwal, Avinash",Indian Institute of Technology Kanpur,ind,536,2001,2024,"7,635","14,521",52,30.7070,8,"2,720",130,"6,880",443,"12,635",4.2218,"10,812",1.3430,401,12.43%,"7,131","16,582",57,34.1416,8,"2,802",130,"7,580",443,"14,467",4.2701,"11,326",1.4641,431,1,1,22,Energy,0.4597,Mechanical Engineering & Transports,0.0844,Enabling & Strategic Technologies,0.8161,77,78,"313,936"
"Meyyappan, M.",Indian Institute of Technology Guwahati,ind,559,1987,2024,"7,731","24,337",76,34.5952,28,"1,302",66,"2,266",328,"15,981",4.2184,"20,310",1.1983,472,10.40%,"7,947","27,163",81,36.6991,28,"1,378",66,"2,403",328,"17,665",4.2466,"21,342",1.2727,483,0,0,18,Applied Physics,0.3566,Nanoscience & Nanotechnology,0.2491,Physics & Astronomy,0.4427,209,199,"304,738"
"Sundar, Shyam",Banaras Hindu University,ind,569,1982,2024,"7,790","23,318",71,35.8812,10,542,117,"7,992",270,"12,022",4.2168,"11,527",2.0229,506,19.29%,"6,268","28,892",83,39.9878,10,603,117,"9,484",270,"14,476",4.2981,"12,547",2.3027,510,1,12,45,Tropical Medicine,0.2408,Microbiology,0.2373,Clinical Medicine,0.5431,7,9,"36,822"
"Lokhande, Chandrakant D.","D. Y. Patil University, Kolhapur",ind,623,1982,2024,"7,943","26,773",83,48.4925,7,298,55,"2,573",431,"19,487",4.2122,"19,510",1.3723,576,12.60%,"7,439","30,633",89,51.4334,7,355,55,"2,959",431,"22,282",4.2611,"20,358",1.5047,582,1,48,17,Applied Physics,0.3139,Materials,0.2848,Enabling & Strategic Technologies,0.4887,195,202,"304,738"
"Misra, Anoop","Diabetes Foundation (India), New Delhi",ind,441,1988,2024,"8,597","19,228",70,33.9356,36,619,125,"6,772",264,"13,107",4.1932,"16,467",1.1677,379,14.23%,"7,563","22,419",76,36.9824,36,756,125,"8,115",264,"14,938",4.2572,"17,373",1.2905,390,0,0,11,Endocrinology & Metabolism,0.4263,Nutrition & Dietetics,0.1066,Clinical Medicine,0.8186,220,247,"92,197"
"Sharma, Om Prakash",Rajasthan Agricultural Research Institute,ind,631,1966,2024,"9,389","15,517",54,32.9369,129,"1,672",268,"4,708",474,"11,744",4.1710,"12,063",1.2863,442,7.56%,"10,555","16,786",55,33.6924,129,"1,737",268,"4,927",474,"12,560",4.1774,"12,602",1.3320,464,0,0,6,General & Internal Medicine,0.2111,Respiratory System,0.1825,Clinical Medicine,0.6762,159,153,"333,256"
"Flora, Swaran Jeet Singh",University of Lucknow,ind,296,1982,2024,"9,987","10,767",52,34.6929,26,"1,751",112,"5,681",256,"10,288",4.1558,"8,150",1.3211,271,15.99%,"8,984","12,817",58,36.9190,26,"1,951",112,"6,712",256,"12,189",4.2160,"8,462",1.5147,278,0,0,39,Toxicology,0.3435,Pharmacology & Pharmacy,0.0850,Biomedical Research,0.5068,33,33,"65,055"
"Venkata Mohan, S.",Indian Institute of Chemical Technology,ind,417,1995,2024,"10,209","18,048",72,40.2500,5,185,115,"8,098",334,"14,620",4.1505,"13,301",1.3569,400,21.94%,"6,229","23,121",83,50.2738,5,311,115,"10,303",334,"19,002",4.2997,"13,839",1.6707,405,0,0,11,Biotechnology,0.4296,Energy,0.1723,Enabling & Strategic Technologies,0.7184,14,20,"62,673"
"Abraham, Ajith",Bennett University,ind,"1,374",2000,2024,"10,759","25,492",76,40.2667,21,419,146,"1,942",922,"14,262",4.1374,"21,956",1.1610,993,12.05%,"9,989","28,984",81,43.9223,21,499,146,"2,205",922,"16,507",4.1908,"23,862",1.2147,"1,050",0,0,27,Artificial Intelligence & Image Processing,0.6079,Networking & Telecommunications,0.0551,Information & Communication Technologies,0.8789,201,224,"399,064"
"Yajnik, Chittaranjan S.",KEM Hospital,ind,294,1982,2024,"11,386","37,922",70,23.9040,19,"1,132",62,"3,803",145,"6,446",4.1235,"33,136",1.1444,267,15.57%,"10,944","44,913",76,24.9112,19,"1,223",62,"4,363",145,"7,517",4.1691,"37,755",1.1896,273,0,0,17,Endocrinology & Metabolism,0.3197,Nutrition & Dietetics,0.1973,Clinical Medicine,0.6327,308,327,"92,197"
"Sankaranarayanan, Rengaswamy",Karkinos Healthcare,ind,336,1988,2024,"11,591","19,351",74,26.9314,15,423,79,"7,146",182,"11,403",4.1193,"14,212",1.3616,310,11.49%,"11,925","21,862",79,27.9238,15,446,79,"7,893",182,"12,653",4.1482,"15,264",1.4323,316,0,0,20,Oncology & Carcinogenesis,0.4375,Obstetrics & Reproductive Medicine,0.1190,Clinical Medicine,0.7917,514,513,"334,837"
"Ajayaghosh, Ayyappanpillai",SRM Institute of Science and Technology,ind,203,1987,2024,"11,618","14,949",60,29.7298,3,803,37,"4,823",165,"13,598",4.1186,"9,484",1.5762,193,10.89%,"11,767","16,776",66,30.8465,3,840,37,"5,340",165,"15,118",4.1520,"9,874",1.6990,194,0,0,10,Organic Chemistry,0.3202,General Chemistry,0.2562,Chemistry,0.7241,277,250,"170,049"
"Ranu, Brindaban C.",Indian Association for the Cultivation of Science,ind,295,1973,2024,"12,282","11,896",61,37.5393,3,330,161,"7,932",277,"11,470",4.1037,"9,455",1.2582,270,10.83%,"12,202","13,341",66,40.0727,3,353,161,"8,936",277,"12,846",4.1429,"9,747",1.3687,271,1,18,8,Organic Chemistry,0.7966,General Chemistry,0.0915,Chemistry,0.9661,288,265,"170,049"
"Ahmad, Parvaiz",GDC,ind,444,2005,2024,"12,473","18,752",74,32.6917,9,207,76,"5,513",365,"15,639",4.1004,"12,788",1.4664,421,11.04%,"12,553","21,080",79,33.9234,9,230,76,"6,212",365,"17,595",4.1355,"13,558",1.5548,423,4,84,64,Plant Biology & Botany,0.4019,Environmental Sciences,0.1087,Biology,0.5792,117,121,"174,582"
"Ahmaruzzaman, Md",National Institute of Technology Silchar,ind,222,2005,2024,"12,913","8,616",41,27.7500,20,"3,689",45,"5,396",204,"8,000",4.0919,"7,879",1.0935,184,10.86%,"12,596","9,666",46,30.5667,20,"3,749",45,"5,675",204,"8,939",4.1348,"8,122",1.1901,207,0,0,5,Environmental Sciences,0.1682,Chemical Engineering,0.1636,Enabling & Strategic Technologies,0.2545,69,65,"115,291"
"Yadav, J. S.",Indrashil University,ind,"1,234",1977,2024,"12,919","27,245",66,40.9972,1,19,701,"18,120","1,096","24,918",4.0917,"18,824",1.4474,"1,186",15.46%,"11,770","32,229",71,45.8429,1,21,701,"21,091","1,096","29,508",4.1519,"19,997",1.6117,"1,197",0,0,5,Organic Chemistry,0.8233,General Chemistry,0.0867,Chemistry,0.9724,278,277,"170,049"
"Quraishi, Mumtaz A.",AKS University,ind,549,1973,2024,"13,008","23,016",86,48.8495,9,64,114,"3,513",350,"15,680",4.0901,"10,664",2.1583,502,23.30%,"10,444","30,007",98,54.9956,9,72,114,"4,306",350,"20,111",4.1802,"11,382",2.6364,508,0,0,22,Energy,0.2564,Materials,0.1447,Enabling & Strategic Technologies,0.4560,112,134,"313,936"
"Bagchi, Biman",Indian Institute of Science,ind,469,1981,2024,"13,391","12,966",54,34.7845,37,"1,175",77,"2,540",431,"10,744",4.0829,"8,442",1.5359,419,19.65%,"10,873","16,136",61,39.5179,37,"1,364",77,"3,056",431,"13,474",4.1707,"9,065",1.7800,436,0,0,2,Chemical Physics,0.6631,Fluids & Plasmas,0.0810,Physics & Astronomy,0.8316,279,313,"106,831"
"Ramachandran, Ambady",India Diabetes Research Foundation,ind,440,1975,2024,"13,475","31,436",67,24.0655,13,329,129,"7,128",230,"9,466",4.0812,"27,423",1.1463,363,14.47%,"13,523","36,755",72,25.9955,13,334,129,"7,828",230,"10,467",4.1183,"30,811",1.1929,369,0,0,14,Endocrinology & Metabolism,0.5500,General & Internal Medicine,0.2386,Clinical Medicine,0.9568,380,368,"92,197"
"Sharma, Ashutosh",Amity University,ind,565,1985,2024,"13,616","14,122",62,36.9464,17,648,117,"3,206",327,"8,692",4.0780,"10,346",1.3650,509,24.72%,"9,699","18,760",70,43.7806,17,821,117,"4,290",327,"11,376",4.1977,"11,503",1.6309,523,0,0,2,Materials,0.1758,Chemical Physics,0.1741,Physics & Astronomy,0.3641,119,163,"299,561"
"Choudhary, Vasant R.",National Chemical Laboratory India,ind,357,1971,2020,"14,256","11,807",61,36.6500,13,188,295,"9,468",345,"11,538",4.0666,"8,423",1.4018,334,10.42%,"14,393","13,181",64,38.3833,13,215,295,"10,671",345,"12,894",4.1019,"8,672",1.5199,340,0,0,5,Physical Chemistry,0.4846,Chemical Engineering,0.1261,Chemistry,0.6471,57,57,"40,704"
"Patil, Pramod S.",Shivaji University,ind,576,1988,2024,"14,442","18,556",68,34.5724,4,621,33,"1,848",291,"9,842",4.0634,"15,548",1.1935,537,14.35%,"14,250","21,666",75,37.2499,4,643,33,"1,935",291,"11,321",4.1044,"16,609",1.3045,545,0,0,9,Applied Physics,0.3108,Materials,0.2274,Enabling & Strategic Technologies,0.4288,341,347,"304,738"
"Srinivasan, Krishnapura",Central Food Technological Research Institute India,ind,176,1978,2022,"14,573","8,290",49,32.4167,25,"2,442",43,"2,753",163,"7,847",4.0609,"6,610",1.2542,169,9.09%,"15,592","9,119",51,33.7833,25,"2,554",43,"2,917",163,"8,646",4.0801,"6,783",1.3444,171,0,0,8,Food Science,0.3409,Nutrition & Dietetics,0.1875,Biomedical Research,0.4205,59,55,"84,371"
"Pal, Nikhil R.","Indian Statistical Institute, Kolkata",ind,275,1987,2024,"14,694","15,514",54,31.1079,24,231,83,"8,911",200,"13,556",4.0583,"13,491",1.1500,218,5.74%,"16,010","16,458",58,31.9746,24,250,83,"9,152",200,"14,209",4.0737,"13,959",1.1790,230,0,0,20,Artificial Intelligence & Image Processing,0.6971,Networking & Telecommunications,0.0401,Information & Communication Technologies,0.8504,322,302,"399,064"
"Nangia, Ashwini K.",University of Hyderabad,ind,303,1987,2024,"14,974","13,644",62,35.9115,17,915,41,"1,649",208,"9,582",4.0527,"9,198",1.4834,287,11.85%,"15,325","15,478",66,37.6294,17,983,41,"1,803",208,"10,842",4.0853,"9,577",1.6162,288,0,0,2,Inorganic & Nuclear Chemistry,0.5781,Organic Chemistry,0.1927,Chemistry,0.9003,101,87,"75,463"
"Ogale, Satishchandra",Indian Institute of Science Education and Research Pune,ind,583,1978,2024,"15,337","26,983",73,27.8761,4,379,67,"2,245",308,"11,316",4.0468,"24,451",1.1036,506,7.23%,"17,011","29,087",75,29.1587,4,382,67,"2,373",308,"12,182",4.0576,"25,731",1.1304,518,0,0,14,Applied Physics,0.4227,Nanoscience & Nanotechnology,0.1770,Physics & Astronomy,0.5447,408,365,"304,738"
"Pal, Sankar K.","Indian Statistical Institute, Kolkata",ind,439,1977,2024,"15,774","15,531",56,35.8333,44,240,140,"4,074",391,"14,465",4.0385,"13,496",1.1508,323,8.72%,"15,675","17,014",60,38.0000,44,278,140,"4,641",391,"15,866",4.0790,"13,937",1.2208,344,0,0,10,Artificial Intelligence & Image Processing,0.6083,Networking & Telecommunications,0.0461,Information & Communication Technologies,0.8802,312,330,"399,064"
"Singh, Narpinder",Graphic Era Deemed to be University,ind,330,1987,2024,"16,227","16,692",72,34.8060,5,172,78,"4,276",166,"10,236",4.0308,"12,683",1.3161,305,10.51%,"16,406","18,653",77,37.7560,5,178,78,"4,836",166,"11,321",4.0675,"13,170",1.4163,310,0,0,6,Food Science,0.8237,Polymers,0.0426,"Agriculture, Fisheries & Forestry",0.8906,63,60,"84,371"
"Prasad, Majeti Narasimha Vara",University of Hyderabad,ind,326,1982,2024,"16,423","13,726",54,32.6893,48,973,88,"2,216",257,"8,260",4.0279,"11,598",1.1835,258,8.07%,"17,365","14,931",58,33.8893,48,"1,031",88,"2,377",257,"9,038",4.0518,"12,123",1.2316,269,0,0,6,Environmental Sciences,0.1718,Plant Biology & Botany,0.1684,Earth & Environmental Sciences,0.4845,95,88,"115,291"
"Philip, Daizy",University of Kerala,ind,105,1988,2021,"16,560","9,010",49,26.0500,8,"2,328",25,"3,196",72,"7,268",4.0258,"6,725",1.3398,102,4.62%,"18,525","9,446",52,26.6429,8,"2,393",25,"3,339",72,"7,535",4.0343,"6,896",1.3698,103,0,0,16,Chemical Physics,0.6190,Applied Physics,0.1238,Physics & Astronomy,0.7810,458,393,"106,831"
"Pradhan, Narayan",Indian Association for the Cultivation of Science,ind,256,1990,2024,"16,745","14,863",61,30.8262,11,277,32,"4,669",174,"11,186",4.0225,"10,735",1.3845,238,11.38%,"15,769","16,772",66,34.0774,11,339,32,"5,055",174,"12,496",4.0773,"11,384",1.4733,244,0,0,12,Physical Chemistry,0.2695,Nanoscience & Nanotechnology,0.1836,Chemistry,0.4609,63,67,"40,704"
"Gupta, Prakash C.",Healis - Sekhsaria Institute for Public Health,ind,312,1967,2024,"17,275","46,269",73,24.9590,13,379,57,"3,078",107,"4,242",4.0144,"40,097",1.1539,294,13.30%,"17,204","53,369",76,26.8062,13,428,57,"3,406",107,"4,767",4.0544,"44,628",1.1959,297,0,0,36,Public Health,0.1955,Oncology & Carcinogenesis,0.1955,Clinical Medicine,0.6154,136,139,"69,595"
"Basu, Mousumi",Jadavpur University,ind,135,1996,2024,"17,405","4,691",39,35.5833,70,"3,671",81,"3,908",105,"4,294",4.0122,"3,245",1.4456,116,2.76%,"21,054","4,824",39,35.5833,70,"3,745",81,"3,982",105,"4,392",4.0006,"3,315",1.4552,117,0,0,4,Energy,0.6370,Artificial Intelligence & Image Processing,0.1481,Enabling & Strategic Technologies,0.6444,243,187,"313,936"
"Sebastian, Mailadil Thomas",National Institute for Interdisciplinary Science and Technology,ind,332,1982,2021,"17,494","10,681",51,30.4540,9,923,45,"3,242",231,"8,241",4.0109,"6,731",1.5868,313,15.90%,"15,900","12,701",57,33.9873,9,"1,032",45,"3,618",231,"9,564",4.0753,"7,144",1.7779,317,0,0,4,Materials,0.4985,Applied Physics,0.2477,Enabling & Strategic Technologies,0.5566,203,208,"299,561"
"Madras, Giridhar",Indian Institute of Technology Hyderabad,ind,583,1993,2024,"17,734","20,685",67,44.9845,5,113,57,"1,748",407,"14,492",4.0071,"17,415",1.1878,563,14.69%,"15,204","24,246",74,49.7179,5,145,57,"2,234",407,"16,857",4.0873,"18,368",1.3200,570,0,0,14,Chemical Engineering,0.2539,Polymers,0.1407,Chemistry,0.4065,58,64,"79,314"
"Khanna, Tarun C.",National Geophysical Research Institute India,ind,101,1995,2024,"17,894","12,536",41,23.5864,13,594,47,"8,412",81,"12,091",4.0048,"9,291",1.3493,92,3.41%,"20,495","12,979",42,24.4198,13,621,47,"8,586",81,"12,387",4.0077,"9,468",1.3708,93,0,0,17,Business & Management,0.3232,Geology,0.1111,Economics & Business,0.5556,173,162,"57,191"
"Parida, Kulamani",Siksha O Anusandhan (Deemed to be University),ind,511,1981,2024,"17,949","23,666",80,49.7190,2,13,99,"4,763",437,"21,183",4.0041,"17,702",1.3369,484,11.99%,"17,681","26,891",87,52.6423,2,15,99,"5,251",437,"23,976",4.0469,"18,291",1.4702,486,0,0,36,Physical Chemistry,0.2200,Chemical Physics,0.1434,Chemistry,0.4892,67,72,"40,704"
"Gurunathan, Sangiliyandi",Rathinam College of Arts and Science,ind,173,1996,2024,"18,069","16,165",61,25.5861,4,167,71,"6,814",144,"14,832",4.0025,"12,661",1.2768,155,6.28%,"20,293","17,249",64,25.6472,4,170,71,"7,387",144,"15,786",4.0103,"12,843",1.3431,156,8,413,42,Nanoscience & Nanotechnology,0.2601,Chemical Physics,0.1676,Enabling & Strategic Technologies,0.3815,270,235,"135,958"
"Goel, Atul","Lilavati Hospital & Research Centre, Mumbai",ind,760,1989,2024,"18,087","8,789",39,26.8024,253,"1,542",455,"5,308",680,"7,763",4.0022,"6,492",1.3538,571,29.11%,"8,318","12,398",51,35.9524,253,"3,032",455,"8,453",680,"11,264",4.2351,"7,030",1.7636,612,0,0,9,Neurology & Neurosurgery,0.5324,Orthopedics,0.0317,Clinical Medicine,0.9908,704,"1,436","341,636"
"Joshi, Jyeshtharaj",Institute of Chemical Technology,ind,559,1977,2024,"18,155","15,360",59,36.8714,5,423,35,"1,566",354,"10,969",4.0011,"11,660",1.3173,507,15.26%,"15,862","18,125",64,40.4643,5,528,35,"1,978",354,"12,906",4.0759,"12,328",1.4702,522,0,0,10,Chemical Engineering,0.6793,Energy,0.0942,Engineering,0.7790,62,68,"79,314"
"Srivastava, Vimal Chandra",Indian Institute of Technology Roorkee,ind,249,2005,2024,"18,283","13,225",55,30.2429,1,644,18,"3,573",106,"6,605",3.9994,"11,138",1.1874,228,10.38%,"18,326","14,756",61,32.8429,1,661,18,"3,830",106,"7,210",4.0371,"11,456",1.2881,231,0,0,12,Chemical Engineering,0.3887,Environmental Sciences,0.1457,Engineering,0.4170,74,69,"79,314"
